,Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
97,Nissan,1996,0,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,2009,3520
98,Nissan,1997,0,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,2009,3910
99,Nissan,1997,0,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,2009,4182
100,Nissan,1997,0,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,2009,4107
101,Nissan,1998,0,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,20,2009,4299
102,Nissan,1998,0,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,20,2009,4693
103,Nissan,1998,0,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,20,2009,4107
104,Volvo,1991,0,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,26,19,870,2000
105,Volvo,1991,0,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,23,18,870,2000
106,Volvo,1991,0,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,26,19,870,2000
107,Volvo,1992,0,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,26,19,870,2000
108,Volvo,1992,0,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,26,19,870,2000
109,Volvo,1992,0,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,26,19,870,2000
110,Volvo,1993,0,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,26,19,870,2000
111,Volvo,1993,0,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,25,18,870,2000
112,Mazda,2012,0,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,16020
113,Mazda,2012,0,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,14530
114,Mazda,2012,0,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,16860
115,Mazda,2012,0,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,15370
116,Mazda,2013,0,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,17050
117,Mazda,2013,0,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,15560
118,Mazda,2013,0,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,16210
119,Mazda,2013,0,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,14720
120,Mazda,2014,0,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,17050
121,Mazda,2014,0,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,15560
122,Mazda,2014,0,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,16210
123,Mazda,2014,0,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29,586,14720
124,BMW,2015,0,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30,20,3916,47250
125,BMW,2015,0,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33,22,3916,41850
126,BMW,2015,0,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33,22,3916,41850
127,BMW,2016,0,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,34,22,3916,43000
128,BMW,2016,0,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30,20,3916,49200
129,BMW,2017,0,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,30,20,3916,49650
130,BMW,2017,0,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,33,23,3916,43950
131,BMW,2015,0,241.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,33,22,3916,41950
132,BMW,2015,0,335.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33,25,3916,50150
133,BMW,2015,0,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35,23,3916,37500
134,BMW,2015,0,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32,21,3916,43750
135,BMW,2015,2,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,45,32,3916,39000
136,BMW,2015,0,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22,3916,39500
137,BMW,2015,0,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22,3916,39500
138,BMW,2015,0,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35,23,3916,34950
139,BMW,2015,0,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30,20,3916,45750
140,BMW,2015,2,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,43,31,3916,43450
141,BMW,2015,0,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35,23,3916,37500
142,BMW,2015,2,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,43,31,3916,41000
143,BMW,2015,0,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,36,24,3916,32950
144,BMW,2016,2,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40,30,3916,41850
145,BMW,2016,0,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,22,3916,47800
146,BMW,2016,2,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,42,32,3916,39850
147,BMW,2016,0,240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,22,3916,38350
148,BMW,2016,0,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34,22,3916,40350
149,BMW,2016,0,240.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,34,22,3916,38350
150,BMW,2016,0,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,34,22,3916,42650
151,BMW,2016,0,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,36,24,3916,33150
152,BMW,2016,0,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35,23,3916,35150
153,BMW,2016,2,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,40,30,3916,44150
154,BMW,2016,0,320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33,22,3916,45800
155,BMW,2017,0,248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,34,23,3916,38750
156,BMW,2017,0,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34,23,3916,35450
157,BMW,2017,0,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,35,23,3916,33450
158,BMW,2017,0,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,33,23,3916,40750
159,BMW,2017,2,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40,30,3916,42250
160,BMW,2017,0,248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,33,23,3916,42950
161,BMW,2017,2,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,42,32,3916,40250
162,BMW,2017,0,320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,21,3916,49900
163,BMW,2017,0,320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32,21,3916,47900
164,BMW,2017,2,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,40,30,3916,44450
165,Mercedes-Benz,1991,0,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,19,15,617,2232
166,Mercedes-Benz,1991,0,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,20,15,617,2000
167,Mercedes-Benz,1991,0,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,17,617,2000
168,Mercedes-Benz,1991,0,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,20,15,617,2105
169,Mercedes-Benz,1991,0,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,18,15,617,2199
170,Mercedes-Benz,1991,0,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,16,617,2000
171,Mercedes-Benz,1991,0,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,19,15,617,2124
172,Mercedes-Benz,1991,0,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,21,14,617,3552
173,Mercedes-Benz,1991,0,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,22,15,617,2179
174,Mercedes-Benz,1991,2,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,30,23,617,2000
175,Mercedes-Benz,1992,2,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,29,23,617,2000
176,Mercedes-Benz,1992,0,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,17,14,617,2377
177,Mercedes-Benz,1992,0,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,21,15,617,3814
178,Mercedes-Benz,1992,0,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,19,15,617,2207
179,Mercedes-Benz,1992,0,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,20,15,617,2000
180,Mercedes-Benz,1992,0,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,21,15,617,2248
181,Mercedes-Benz,1992,0,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,16,617,2065
182,Mercedes-Benz,1992,2,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,22,18,617,2547
183,Mercedes-Benz,1992,0,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,18,15,617,2282
184,Mercedes-Benz,1992,0,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23,18,617,2000
185,Mercedes-Benz,1993,0,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,19,15,617,2544
186,Mercedes-Benz,1993,0,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,22,17,617,2397
187,Mercedes-Benz,1993,2,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,30,23,617,2000
188,Mercedes-Benz,1993,0,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,21,14,617,4174
189,Mercedes-Benz,1993,0,217.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,17,617,2187
190,Mercedes-Benz,1993,2,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,22,18,617,2729
191,Mercedes-Benz,1993,0,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,19,15,617,2433
192,Mercedes-Benz,1993,0,194.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23,17,617,2247
193,Mercedes-Benz,1993,0,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,18,14,617,2540
194,Mitsubishi,1997,0,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,23,17,436,3941
195,Mitsubishi,1997,0,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,22,17,436,3295
196,Mitsubishi,1997,0,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,22,16,436,6008
197,Mitsubishi,1998,0,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,22,16,436,6710
198,Mitsubishi,1998,0,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,22,17,436,3701
199,Mitsubishi,1998,0,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,23,17,436,4671
200,Mitsubishi,1999,0,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,23,17,436,5306
201,Mitsubishi,1999,0,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,22,16,436,7600
202,Mitsubishi,1999,0,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,22,17,436,4090
203,Chrysler,2015,0,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,37570
204,Chrysler,2015,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,31695
205,Chrysler,2015,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,38070
206,Chrysler,2015,0,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,44895
207,Chrysler,2015,0,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,35070
208,Chrysler,2015,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,42395
209,Chrysler,2015,0,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,34195
210,Chrysler,2015,0,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,40570
211,Chrysler,2016,0,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38095
212,Chrysler,2016,0,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,35595
213,Chrysler,2016,0,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,45190
214,Chrysler,2016,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,32260
215,Chrysler,2016,0,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,37755
216,Chrysler,2016,0,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,41055
217,Chrysler,2016,0,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,36090
218,Chrysler,2016,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,42690
219,Chrysler,2016,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,38555
220,Chrysler,2016,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,35255
221,Chrysler,2016,0,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38590
222,Chrysler,2016,0,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,34760
223,Chrysler,2017,0,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,41135
224,Chrysler,2017,0,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,45270
225,Chrysler,2017,0,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38670
226,Chrysler,2017,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,38635
227,Chrysler,2017,0,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,36170
228,Chrysler,2017,0,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38175
229,Chrysler,2017,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,32340
230,Chrysler,2017,0,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,42770
